Race,Driver,Start Position,End Position,Race Story,Fastest Lap,Did the driver get fastest lap?,Rookie?,Number of Overtakes,Number Overtaken,Average finish,Finish Difference
Bahrain,Fernando Alonso,5,3,2,zhou,no,no,5,1,5.6,2.6
Saudi Arabia,Max Verstappen,15,2,13,Max Verstappen,yes,no,8,0,1.27,-0.73
Australia,Sergio Perez,20,5,15,Sergio Perez,yes,no,10,0,4.2,-0.8
Azerbaijan,Sergio Perez,3,1,2,russell,no,no,1,0,4.2,3.2
Miami,Max Verstappen,9,1,8,Max Verstappen,yes,no,8,0,1.27,0.27
Monaco,ocon,3,3,0,Lewis Hamilton,no,no,0,0,9.0,6.0
Spain,Lewis Hamilton,4,2,2,Max Verstappen,no,no,2,0,4.9,2.9
Canada,albon,9,7,2,Sergio Perez,no,no,2,2,11.11,4.11
Austria,Lando Norris,4,4,0,Max Verstappen,no,no,2,3,7.42,3.42
Great Britain,Lando Norris,2,2,0,Max Verstappen,no,no,0,1,7.42,5.42
Hungary,Sergio Perez,9,3,6,Max Verstappen,no,no,4,0,4.2,1.2
Belgium,Max Verstappen,6,1,5,Lewis Hamilton,no,no,3,0,1.27,0.27
Netherlands,Fernando Alonso,5,2,3,Fernando Alonso,yes,no,13,0,5.6,3.6
Italy,sainz,1,3,-2,Oscar Piastri,no,no,3,3,5.68,2.68
Singapore,sainz,1,1,0,Lewis Hamilton,no,no,0,0,5.68,4.68
Japan,Oscar Piastri,2,3,-1,Max Verstappen,no,yes,2,0,9.63,6.63
Qatar,Oscar Piastri,6,2,4,Max Verstappen,no,yes,5,0,9.63,7.63
United States,Lando Norris,2,2,0,Yuki Tsunoda,no,no,2,2,7.42,5.42
Mexico,Lando Norris,17,5,12,Lewis Hamilton,no,no,13,0,7.42,2.42
Brazil,Lando Norris,6,2,4,Lando Norris,yes,no,0,0,7.42,5.42
Las Vegas,Charles Leclerc,1,2,-1,Oscar Piastri,no,no,4,2,4.88,2.88
Abu Dhabi,Yuki Tsunoda,6,8,-2,Max Verstappen,no,no,2,7,11.68,3.68
