Race,Driver,Start Position,End Position,Positions gained
Bahrain Grand Prix,Fernando Alonso,5,3,2
Saudi Arabia Grand Prix,Max Verstappen,15,2,13
Australia Grand Prix,Sergio Perez,20,5,15
Azerbaijan Grand Prix,Sergio Perez,3,1,2
Miami Grand Prix,Max Verstappen,9,1,8
Monaco Grand Prix,Esteban Ocon,3,3,0
Spain Grand Prix,Lewis Hamilton,4,2,2
Canada Grand Prix,Alexander Albon,9,7,2
Austria Grand Prix,Lando Norris,4,4,0
Great Britain Grand Prix,Lando Norris,2,2,0
Hungary Grand Prix,Sergio Perez,9,3,6
Belgium Grand Prix,Max Verstappen,6,1,5
Netherlands Grand Prix,Fernando Alonso,5,2,3
Italian Grand Prix,Carlos Sainz,1,3,-2
Singapore Grand Prix,Carlos Sainz,1,1,0
Japan Grand Prix,Oscar Piastri,2,3,-1
Qatar Grand Prix,Oscar Piastri,6,2,4
United States Grand Prix,Lando Norris,2,2,0
Mexico Grand Prix,Lando Norris,17,5,12
Brazil Grand Prix,Lando Norris,6,2,4
Las Vegas Grand Prix,Charles Leclerc,1,2,-1
Abu Dhabi Grand Prix,Yuki Tsunoda,6,8,-2
